Plnt,ABC,CC Ind,MRP,Material,UM,SLoc,Bin,Unres Qty On Hand,  Last Count,Std Cst,Material description,MS,MS2
US53,C,X,TY1,351375-0010,EA,1000,,0.000,,"1,121.89","SENSOR,FRACTURE,EPSILON MODEL 3541",RG,
US53,C,X,TY1,351375-0110,EA,1000,F2-A,0.000,,"1,620.00","SENSOR,FRACTURE,5mm GA,+12.0mm/-2.0mm",RG,
US53,C,X,TY1,351375-0180,EA,1000,C5-C,0.000,,"1,620.00","SENSOR,FRACTURE,10MM GA,+4.0MM/-1.0MM",RG,
US53,C,X,TY1,351375-0190,EA,1000,,0.000,,"1,620.00","SENSOR,FRACTURE,10mm GA,+7.0mm/-1.0mm",RG,
US53,C,X,TY6,351380-0010,EA,1000,,0.000,,"1,121.89","KIT,SENSOR,MINI-EXTENSOMETER,GEN PURPOSE",RG,
US53,C,X,TY6,351380-0320,EA,1000,,0.000,,"2,490.50","KIT,SENSOR,MINI-EXTENSOM,10MM GA,20/-10%",RG,
US53,C,X,TY6,351380-0320,EA,3000,,1.000,,"2,490.50","KIT,SENSOR,MINI-EXTENSOM,10MM GA,20/-10%",RG,
US53,C,X,TY1,351387-0450,EA,1000,A1-F,0.000,,120.00,"CABLE ASSY, LVDT, PT06-106S,4.5m",RG,
US53,C,X,TY6,351388-0010,EA,1000,,0.000,,"1,121.89","KIT,SENSOR,DEFLECTION GAGE,GEN PURPOSE",RG,
US53,C,X,TY6,351389-0010,EA,1000,,0.000,,"1,121.89","KIT,SENSOR,FRACTURE,GENERAL PURPOSE",RG,
US53,C,X,TY1,351391-0450,EA,1000,,0.000,,92.00,"CABLE ASSY,CURRENT-MODE SERVOVALVE,4.5m",RG,
US53,C,X,TY1,351416-0010,EA,1000,B6-F,0.000,,988.05,"BLOCK,SPECIMEN,TAPERED,DENTAL IMPLANT",RG,
US53,C,X,TY1,351460-0450,EA,1000,,0.000,,34.00,"CABLE ASSY,SOLENOID,CPC,FLY LEADS,4.5m",RG,
US53,C,D,TY1,351518-0250,EA,1000,K20-B,3.000,,31.45,"LINE CORD,INDIA/S.AFRICA,16A,C19,2.5m",RG,
US53,C,X,TY1,351696-0010,EA,1000,,0.000,,135.00,"GAGE,LM1 WINDING",RG,
US53,C,X,TY6,351702-0010,EA,1000,,0.000,,"1,775.20","KIT,CHAMBER,BIODYNAMIC,ORTHO,SERIES I",RG,
US53,C,X,TY6,351709-0010,EA,1000,,0.000,,"12,713.04","SYSTEM,LM1 TB PWRHEAD,200N,4X2 PCI,120V",RG,
US53,C,X,TY1,351721-0020,EA,1000,,0.000,,"24,272.86","CHAMBER ASSY,HOT/COLD/HUMIDITY,3200,230V",CP,
US53,C,X,TY1,351725-0010,EA,1000,,0.000,,"27,672.86","CHAMBER ASSY,HOT/COLD/HUMIDITY,3300",CP,
US53,C,X,TY1,351726-0010,EA,1000,,0.000,,"41,975.27","SYSTEM,DUAL LM2 POWERHEADS,4x2 PCI",OB,OB
US53,C,X,TY1,351902-0010,EA,1000,,0.000,,536.99,"BRACKET,CARRIER,LM1.5 MOTOR",RG,
US53,C,X,TY1,351903-0010,EA,1000,,0.000,,336.00,"PLATE,MOUNT,LM1.5 MOTOR",RG,
US53,C,X,TY1,351904-0010,EA,1000,,0.000,,450.00,"SHAFT,OUTPUT,LM1.5 MOTOR",RG,
US53,C,X,TY1,351905-0010,EA,1000,,0.000,,95.00,"BRACKET,SENSOR,LM1.5 MOTOR",RG,
US53,C,D,TY1,351920-0010,FT,1000,H2-C,19.000,06/15/2023,1.80,"TUBE,SILICONE,1/8IN ID,3/16IN OD",RG,
US53,C,X,TY6,351936-0010,EA,1000,,0.000,,"24,299.70","KIT,MSF-12 ASSEMBLY,3300,230VAC",RG,
US53,C,X,TY6,351936-0020,EA,1000,,0.000,,"18,918.52","KIT,MSF-12, ASSY NO BATH,3300",RG,
US53,C,X,TY1,352031-0010,EA,1000,A2-D,0.000,02/01/2016,25.37,"POWER STRIP,JAPAN,120V,15A,JIS,6P,5-15R",RG,
US53,C,X,TY6,352058-0010,EA,1000,,0.000,,29.88,"POWER STRIP,120V,5-15R",RG,
US53,C,X,TY1,352062-0010,EA,1000,O5,0.000,,1.00,LM1 Bump Stop,RG,
US53,C,X,TY6,352110-0010,EA,1000,,0.000,,620.00,"KIT,LEGS,HORIZONTAL MOUNT,3200",RG,
US53,C,D,TY1,352118-0010,EA,1000,M4A,5.000,05/25/2023,198.40,"PDU,RACK,120V,24A,1-PH,10 5-20R,L5-30",RG,
US53,C,X,TY1,352119-0010,EA,1000,D5-H,0.000,,6.74,"NUT,T-SLOT,1/2IN SLOTS,3/8-16 THD",RG,
US53,C,X,TY6,352141-0010,EA,1000,,0.000,,"2,418.91","KIT,UPGD,WINTEST 4.1,PC,4X2,120V",OB,
US53,C,X,TY6,352141-0020,EA,1000,,0.000,,"2,451.15","KIT,UPGD,WINTEST 4.1,PC,4X2,230V",OB,
US53,C,X,TY6,352141-0030,EA,1000,,0.000,,"2,995.61","KIT,UPGD,WINTEST 4.1,PC,8X2,120V",OB,
US53,C,X,TY6,352141-0040,EA,1000,,0.000,,"3,027.85","KIT,UPGD,WINTEST 4.1,PC,8X2,230V",OB,
US53,C,X,TY6,352141-0050,EA,1000,,0.000,,"3,611.24","KIT,UPGD,WINTEST 4.1,PC,8X4,120V",OB,
US53,C,X,TY6,352141-0060,EA,1000,,0.000,,"3,643.48","KIT,UPGD,WINTEST 4.1,PC,8X4,230V",OB,
US53,C,X,TY1,352147-0010,EA,1000,E2-C,0.000,,4.95,"OWNERS MANUAL,9210  SGT WT7",RG,DP
US53,C,X,TY6,352148-0010,EA,1000,,0.000,,979.03,"KIT,COMPUTER,WINTEST 4.1 PRODUCTION SYS",OB,
US53,C,X,TY6,352163-0010,EA,1000,,0.000,,139.65,"KIT,SOFTWARE,WINTEST 4.1",RG,
US53,C,X,TY1,352166-0010,EA,1000,X7,0.000,,0.80,"SHIM,SLOTTED,SIZE AA,1.5X1.5IN,.001IN TH",RG,
US53,C,X,TY1,352166-0020,EA,1000,X7,0.000,,0.80,"SHIM,SLOTTED,SIZE AA,1.5X1.5IN,.002IN TH",RG,
US53,C,X,TY1,352166-0030,EA,1000,X7,0.000,,0.80,"SHIM,SLOTTED,SIZE AA,1.5X1.5IN,.003IN TH",RG,
US53,C,X,TY1,352166-0040,EA,1000,X7,0.000,,0.81,"SHIM,SLOTTED,SIZE AA,1.5X1.5IN,.004IN TH",RG,
US53,C,X,TY1,352166-0050,EA,1000,X7,0.000,,0.80,"SHIM,SLOTTED,SIZE AA,1.5X1.5IN,.005IN TH",RG,
US53,C,X,TY1,352166-0100,EA,1000,X7,0.000,,0.76,"SHIM,SLOTTED,SIZE AA,1.5X1.5IN,.010IN TH",RG,
US53,B,B,TY1,352218-0010,EA,1000,D4-B,3.000,08/16/2023,990.00,"SENSOR,LOAD,50G,6-32 THD",DS,DS
US53,A,B,TY1,352218-0020,EA,1100,,0.000,,995.00,"SENSOR,LOAD,250G,6-32 THD",DS,DS
US53,A,B,TY1,352218-0020,EA,1000,D4-C,0.000,02/27/2023,995.00,"SENSOR,LOAD,250G,6-32 THD",DS,DS
US53,C,D,TY1,352222-0010,EA,1000,K20-B,4.000,,17.27,"CONN,AC POWER,INDIA/S. AFRICA,250V,15A",RG,
US53,B,C,TY1,352237-0010,EA,1000,D4-B,1.000,03/13/2023,"2,180.00","SENSOR,LOAD,50G,6-32THD,SUBM",DS,DS
US53,A,A,TY1,352237-0020,EA,1000,D4-B,8.000,09/20/2023,"1,555.00","SENSOR,LOAD,250G,6-32THD,SUBM",DS,DS
US53,C,X,TY6,352239-0010,EA,1000,,0.000,,"1,062.50","KIT,SENSOR,LOAD,50G",RG,
US53,C,X,TY6,352239-0020,EA,1000,,0.000,,"1,067.50","KIT,SENSOR,LOAD,250G",RG,
US53,C,X,TY6,352241-0010,EA,1000,,0.000,,"2,252.50","KIT,SENSOR,LOAD,SUB,50G",RG,
US53,C,X,TY6,352241-0020,EA,1000,,0.000,,"1,627.50","KIT,SENSOR,LOAD,SUB,250G",RG,
US53,C,X,TY1,352257-0010,EA,1000,,0.000,,0.70,"GASKET,BUNA-N,A70,6.0X5.624X0.06IN TK",PP,
US53,C,X,TY1,352258-0010,EA,1000,,0.000,,30.00,"GASKET,BUNA-N,A70,6.0X5.15X0.60IN TK",RG,
US53,C,X,TY1,352262-0010,EA,1000,,0.000,,386.81,"BRACE,BELLOWS,PRESSURE SENSOR ASSY",RG,
US53,A,X,TY6,352272-0010,EA,1000,,0.000,,"48,699.83","SYSTEM ASSY,3330 II,DENTAL WEAR",OB,OB
US53,C,X,TY1,352305-0010,EA,1000,,0.000,,0.01,"FITTING,STOPCOCK,MALE LUER LOCK,HI PRESS",DS,
US53,C,X,TY1,352306-A006,EA,1000,C6-F,0.000,,0.10,"O-RING,SQUARE,AS-006,BUNA-N,70 DURO",RG,
US53,C,X,TY1,352306-A008,EA,1000,C6-F,0.000,,0.10,"O-RING,SQUARE,AS-008,BUNA-N,70 DURO",RG,
US53,C,X,TY1,352306-A010,EA,1000,C6-F,0.000,,0.10,"O-RING,SQUARE,AS-010,BUNA-N,70 DURO",RG,
US53,C,X,TY1,352306-A224,EA,1000,,0.000,,0.30,"O-RING,SQUARE,AS-224,BUNA-N,70 DURO",RG,
US53,C,D,TY1,352322-0010,EA,1000,K9-C1,92.000,05/30/2023,2.48,"SCREW,HIGH SECURITY,1/4-20X1BHCS,18-8",RG,
US53,C,D,TY1,352323-0010,EA,1000,K6-D1,35.000,,1.80,"SCREW,HIGH SECURITY,8-32X.5,BHCS,18-8",RG,
US53,C,D,TY1,352324-0010,EA,1000,K6-C4,84.000,10/21/2024,1.84,"SCREW,HIGH SECURITY,8-32X.75,BHCS,18-8",RG,
US53,C,X,TY1,352325-0010,EA,1000,,0.000,,0.01,"ER,HIGH SECURITY SCREWS,U10 BIT",RG,
US53,C,X,TY1,352327-0010,EA,1000,,0.000,,0.01,"BIT,DRIVER,HIGH SECURITY SCREWS,U25 BIT",RG,
US53,C,X,TY6,352352-0010,EA,1000,,0.000,,"28,624.86","SYSTEM,3330 II,4X2 PCI,T-SLOT",OB,OB
US53,C,X,TY6,352352-0020,EA,1000,,0.000,,"29,606.63","SYSTEM,3330 II,8X2,PCI,T-SLOT",OB,OB
US53,C,X,TY6,352352-0030,EA,1000,,0.000,,"30,419.36","SYSTEM,3330 II,4X2,PCI,EXT CLMN,T-SLOT",OB,OB
US53,C,X,TY6,352352-0040,EA,1000,,0.000,,"31,401.13","SYSTEM,3330 II,8X2,PCI,EXT CLMN,T-SLOT",OB,OB
US53,C,X,TY6,352417-0010,EA,1000,,0.000,,"44,960.31","SYSTEM,3330-AT II,4X2,PCI,T-SLOT",OB,OB
US53,C,X,TY6,352417-0020,EA,1000,,0.000,,"45,942.08","SYSTEM,3330-AT II,8X2,PCI,T-SLOT",OB,OB
US53,C,X,TY6,352417-0030,EA,1000,,0.000,,"46,473.81","SYSTEM,3330-AT II,4X2,PCI,EXT CLMN,T-SL",OB,OB
US53,C,X,TY6,352417-0040,EA,1000,,0.000,,"47,455.58","SYSTEM,3330-AT II,8X2,PCI,EXT CLMN,T-SL",OB,OB
US53,C,X,TY6,352423-0010,EA,1000,,0.000,,"49,494.33","SYSTEM,3330-HTAT II,4X2,PCI,T-SLOT",OB,OB
US53,C,X,TY6,352423-0020,EA,1000,,0.000,,"50,476.10","SYSTEM,3330-HTAT II,8X2 PCI,T-SLOT",OB,OB
US53,C,X,TY6,352423-0030,EA,1000,,0.000,,"51,007.83","SYSTEM,3330-HTAT II,4X2 PCI,EXT CLM,T-SL",OB,OB
US53,C,X,TY6,352423-0040,EA,1000,,0.000,,"51,989.60","SYSTEM,3330-HTAT II,8X2 PCI,EXT CLM,T-ST",OB,OB
US53,B,D,TY1,352465-0010,EA,1000,K11-D1,3.000,05/02/2023,283.45,"FLANGE,AT,GRIP,3330",RG,
US53,C,X,TY1,352532-0010,EA,1000,,0.000,,11.90,"CABLE ASSY,CT COMMS",RG,
US53,C,X,TY6,352576-0010,EA,1000,,0.000,,"6,045.39","KIT,UPGRADE,LM1 TB,PS,CBLS,HARNESS,120V",RG,
US53,C,X,TY6,352577-0010,EA,1000,,0.000,,"30,683.23","FRAME ASSEMBLY,3330-AT II",RG,
US53,C,X,TY6,352584-0010,EA,1000,,0.000,,"34,333.82","FRAME ASSEMBLY,3330-HTAT II",RG,
US53,C,D,TY1,352610-0010,EA,1000,K5-J1,1.000,,10.35,"CONN,AC POWER,CHINA,250V,10A",RG,
US53,C,X,TY6,352622-0010,EA,1000,,0.000,,"8,131.98","KIT,CHAMBER AND ACC,BD,MULTIPURP,3330",RG,
US53,C,D,TY1,352657-0010,EA,1000,K8-E2,16.000,05/30/2023,7.65,"SEAL,TEMP CHAMBER",RG,
US53,C,X,TY6,352658-0010,EA,1000,,0.000,,"3,629.33","KIT,3330 HA UPGRADE, PNEUMATIC",RG,
US53,C,X,TY6,352658-0020,EA,1000,,0.000,,"2,391.81","KIT,3330 HA UPGRADE,ELEC LIFT",RG,
US53,C,X,TY6,352785-0010,EA,1000,,0.000,,"4,911.65","KIT,ELECTRONICS,LM1 ES ADD-ON",RG,
